CustomerID,Lookalikes
C0001,"[('C0184', 0.9261277984486864), ('C0112', 0.8848978262090405), ('C0192', 0.836936706787431)]"
C0002,"[('C0106', 0.9184655240349032), ('C0029', 0.9104603129608563), ('C0134', 0.8777705791549169)]"
C0003,"[('C0052', 0.9125768238525747), ('C0195', 0.8638974679828246), ('C0031', 0.847820246812153)]"
C0004,"[('C0165', 0.9814788386801848), ('C0169', 0.9434795851887823), ('C0175', 0.9015205029111661)]"
C0005,"[('C0007', 0.9015156687755806), ('C0112', 0.8792005780888463), ('C0095', 0.8241741248228545)]"
C0006,"[('C0187', 0.896223405901948), ('C0168', 0.854574894589315), ('C0171', 0.7727572216695064)]"
C0007,"[('C0005', 0.9015156687755806), ('C0193', 0.8560597809525015), ('C0120', 0.7975221380496178)]"
C0008,"[('C0024', 0.7636337943402456), ('C0090', 0.7569959903995405), ('C0194', 0.7303563123544612)]"
C0009,"[('C0121', 0.901880046998501), ('C0062', 0.8740328346056372), ('C0033', 0.8679090244575609)]"
C0010,"[('C0062', 0.9252449439837207), ('C0103', 0.8733435386225346), ('C0019', 0.8626602069724314)]"
C0011,"[('C0153', 0.8631441672260634), ('C0174', 0.7907669901781357), ('C0118', 0.7786102706382363)]"
C0012,"[('C0195', 0.9398103362780904), ('C0136', 0.8422342813421956), ('C0087', 0.821586336144166)]"
C0013,"[('C0143', 0.8993808268142519), ('C0087', 0.8899495959434152), ('C0022', 0.8419003730469334)]"
C0014,"[('C0097', 0.9254381327599663), ('C0151', 0.9019499798963944), ('C0128', 0.8841348505678083)]"
C0015,"[('C0058', 0.9248039471240544), ('C0036', 0.8816787361171885), ('C0123', 0.8626714754564818)]"
C0016,"[('C0183', 0.978940795509492), ('C0067', 0.8168341013394455), ('C0042', 0.7247095945165667)]"
C0017,"[('C0075', 0.913627189703333), ('C0041', 0.8366918502319141), ('C0090', 0.8074422351728997)]"
C0018,"[('C0046', 0.9402609271779548), ('C0117', 0.88481311134189), ('C0138', 0.8191324779119082)]"
C0019,"[('C0121', 0.9221008382773805), ('C0060', 0.8863155618834337), ('C0010', 0.8626602069724314)]"
C0020,"[('C0078', 0.863871733687209), ('C0050', 0.8554303377142318), ('C0140', 0.8454853201125534)]"
